emp_no,salary
11048,65697
11050,52251
11050,52251
11051,40000
11051,40000
11056,79354
11060,57435
11061,81257
11061,81257
11064,48411
11064,48411
11064,48411
11066,53496
11070,40000
11070,40000
11071,40000
11071,40000
11075,76877
11077,42983
11079,46239
11079,46239
11081,65686
11081,65686
11083,90972
11083,90972
11084,52121
11084,52121
11085,66437
11087,78081
11089,41004
11091,76253
11092,78588
11098,40000
11100,40000
11100,40000
11106,71446
11106,71446
11106,71446
11110,43063
11111,49777
11112,40000
11113,66401
11113,66401
11114,42370
11119,40000
11121,40000
11121,40000
11130,43172
11132,40000
11132,40000
11133,40000
11134,58731
11134,58731
11137,40000
11139,63596
11139,63596
11143,63264
11144,56144
11144,56144
11145,50480
11146,96019
11146,96019
11147,40000
11148,56344
11148,56344
11156,42448
11158,40000
11158,40000
11162,69873
11162,69873
11168,72944
11168,72944
11170,44531
11174,45806
11177,40000
11180,40000
11180,40000
11181,40000
11185,40000
11185,40000
11186,40000
11186,40000
11189,71798
11192,40000
11195,52089
11197,88741
11201,49454
11203,68049
11203,68049
11204,40000
11206,68802
11207,49728
11208,83660
11211,72668
11213,40000
11217,40000
11218,40000
11221,47184
11229,48214
11229,48214
11232,43863
11232,43863
11233,46070
11233,46070
11240,61739
11240,61739
11243,47598
11249,43324
11249,43324
11251,69432
11251,69432
11253,40000
11253,40000
11254,50562
11258,40000
11258,40000
11266,40000
11266,40000
11267,65990
11268,40000
11268,40000
11274,40000
11275,58382
11275,58382
11288,60782
11289,40000
11289,40000
11290,65034
11291,54307
11292,40000
11292,40000
11294,43768
11294,43768
11294,43768
11295,66622
11295,66622
11296,40000
11296,40000
11297,40000
11300,44380
11301,40000
11301,40000
11302,52934
11315,84316
11317,40000
11317,40000
11319,40000
11320,45118
11320,45118
11322,43021
11322,43021
11322,43021
11324,54288
11325,62458
11326,40000
11326,40000
11338,82210
11339,40000
11340,48813
11340,48813
11343,43306
11343,43306
11347,41524
11347,41524
11349,46356
11349,46356
11360,63466
11360,63466
11365,56463
11372,52023
11373,45912
11373,45912
11376,46964
11376,46964
11380,53345
11380,53345
11380,53345
11385,40000
11386,47726
11386,47726
11387,41824
11393,40000
11393,40000
11396,48918
11398,44625
11398,44625
11401,52021
11404,42907
11406,71834
11406,71834
11410,45665
11414,76725
11414,76725
11415,40000
11417,74114
11418,40000
11420,40000
11421,52416
11421,52416
11423,43947
11425,40000
11428,40000
11431,44804
11431,44804
11441,67352
11446,40000
11446,40000
11449,61434
11449,61434
11451,61848
11452,52083
11452,52083
11459,40000
11459,40000
11460,45712
11460,45712
11461,49398
11461,49398
11468,85983
11469,44625
11469,44625
11474,59016
11476,56449
11477,40000
11479,78157
11501,48608
11501,48608
11503,56928
11503,56928
11506,89747
11509,40000
11509,40000
11513,82525
11513,82525
11515,70182
11518,40000
11518,40000
11519,61444
11521,67809
11523,64203
11523,64203
11524,41081
11526,67591
11526,67591
11527,60212
11528,44026
11531,53370
11533,40000
11537,96023
11540,70043
11540,70043
11554,46065
11555,40000
11555,40000
11562,82255
11567,86261
11567,86261
11568,54673
11568,54673
11573,46194
11573,46194
11575,50896
11575,50896
11577,40000
11577,40000
11578,40000
11578,40000
11581,46950
11581,46950
11587,40000
11588,40000
11589,58444
11589,58444
11595,68224
11596,54076
11597,43205
11602,58575
11602,58575
11603,69180
11603,69180
11606,40000
11606,40000
11607,49584
11615,46591
11615,46591
11616,41900
11616,41900
11624,42001
11624,42001
11628,43966
11628,43966
11636,47900
11640,52520
11641,53327
11644,80722
11646,55411
11647,40000
11647,40000
11649,40000
11660,65758
11660,65758
11664,70380
11667,79814
11667,79814
11673,40000
11676,43310
11681,40000
11681,40000
11684,68753
11684,68753
11686,40000
11686,40000
11690,44420
11693,70403
11696,51633
11696,51633
11705,79701
11705,79701
11708,68112
11713,53387
11713,53387
11732,40000
11733,46092
11733,46092
11735,40000
11735,40000
11736,44127
11737,48832
11738,58432
11738,58432
11746,55951
11746,55951
11747,90239
11747,90239
11748,54491
11751,40000
11751,40000
11755,56874
11755,56874
11756,59493
11763,40000
11764,64875
11764,64875
11765,40000
11765,40000
11769,40000
11769,40000
11770,40000
11770,40000
11772,61295
11774,40000
11778,40000
11778,40000
11779,40000
11791,40000
11797,88050
11797,88050
11801,67265
11801,67265
11805,40000
11807,40000
11810,41256
11811,52695
11811,52695
11813,94687
11814,40000
11817,50638
11817,50638
11821,50404
11822,67396
11823,72637
11829,40000
11832,40000
11836,40000
11838,68674
11841,90296
11842,40000
11842,40000
11844,78049
11844,78049
11846,53448
11846,53448
11847,64449
11853,61941
11853,61941
11857,94805
11862,46011
11862,46011
11864,52517
11868,48349
11869,62968
11871,67424
11871,67424
11872,43159
11872,43159
11876,45372
11876,45372
11877,50777
11881,76541
11881,76541
11883,58135
11888,53720
11888,53720
11894,56198
11896,40000
11897,80049
11897,80049
11906,81324
11911,40000
11911,40000
11915,58042
11915,58042
11917,40000
11926,41612
11931,73369
11931,73369
11933,56130
11933,56130
11938,40000
11939,64815
11940,60193
11944,52061
11945,53056
11948,49929
11948,49929
11949,40000
11951,40000
11951,40000
11951,40000
11965,57709
11972,52908
11980,58241
11983,40000
11983,40000
11987,40000
11987,40000
11988,57652
11988,57652
11989,40000
11993,56505
11994,49761
11994,49761
11997,40000
12007,40000
12007,40000
12008,68535
12011,85833
12011,85833
12015,42853
12021,40000
12021,40000
12023,40000
12024,65580
12025,62126
12028,51314
12028,51314
12030,40000
12033,49992
12034,40148
12036,67143
12036,67143
12037,47805
12037,47805
12040,64813
12043,49009
12044,40000
12047,52051
12050,46704
12050,46704
12052,40000
12053,48319
12054,67400
12055,60201
12060,40000
12062,44199
12063,56022
12063,56022
12069,51928
12069,51928
12069,51928
12070,50233
12076,75381
12077,50388
12077,50388
12080,47946
12080,47946
12082,72118
12082,72118
12087,45432
12089,46288
12089,46288
12090,46269
12091,40000
12092,40000
12093,40000
12093,40000
12094,44788
12095,57978
12095,57978
12099,104610
12099,104610
12102,90853
12103,56188
12104,43465
12112,76538
12112,76538
12114,40000
12122,46398
12122,46398
12123,64879
12123,64879
12125,41215
12128,81527
12138,40000
12140,40000
12148,42040
12149,109934
12159,61210
12160,60391
12164,43366
12165,41951
12168,40000
12172,40000
12173,58321
12174,40000
12183,40000
12186,70221
12186,70221
12190,40000
12191,45307
12192,41625
12192,41625
12205,40000
12206,40000
12206,40000
12206,40000
12210,40000
12210,40000
12213,79834
12213,79834
12216,40000
12218,40000
12218,40000
12219,57507
12221,56736
12221,56736
12222,55840
12222,55840
12223,54459
12223,54459
12230,53692
12231,40000
12235,100755
12242,46911
12242,46911
12247,59183
12249,70099
12249,70099
12250,61573
12254,44848
12256,40000
12256,40000
12258,40748
12258,40748
12264,51816
12269,40000
12269,40000
12270,52840
12270,52840
12272,43811
12272,43811
12273,90736
12273,90736
12274,40000
12276,59844
12276,59844
12281,45417
12281,45417
12282,40000
12291,67506
12291,67506
12298,62015
12303,40000
12308,58741
12308,58741
12311,40000
12312,52344
12312,52344
12316,46261
12316,46261
12317,40000
12327,67449
12327,67449
12328,51299
12335,40000
12338,46270
12339,40000
12341,40000
12341,40000
12343,52134
12343,52134
12345,42222
12345,42222
12351,67969
12355,70724
12355,70724
12364,42337
12365,40000
12365,40000
12366,40000
12368,45415
12368,45415
12373,75986
12379,43508
12380,40000
12381,42211
12381,42211
12388,40000
12394,40000
12395,66909
12399,85582
12399,85582
12407,40000
12411,97610
12411,97610
12413,53179
12413,53179
12415,53615
12417,67342
12421,52691
12421,52691
12422,71376
12422,71376
12426,40000
12427,40000
12427,40000
12434,40000
12438,109440
12438,109440
12450,40000
12450,40000
12451,40000
12451,40000
12452,40000
12454,41347
12464,50448
12466,65175
12468,41627
12470,42070
12475,40000
12475,40000
12478,50404
12478,50404
12480,62415
12482,45647
12482,45647
12487,40000
12488,40000
12488,40000
12489,63306
12490,40000
12490,40000
12492,59589
12493,40000
12497,81191
12497,81191
12499,69706
12499,69706
12501,76082
12502,40000
12504,40000
12505,40423
12506,50229
12506,50229
12509,40000
12509,40000
12514,54241
12515,50655
12515,50655
12520,40000
12522,47733
12523,94760
12524,42824
12528,40000
12528,40000
12534,66715
12537,85107
12537,85107
12540,40000
12541,93105
12541,93105
12542,44176
12542,44176
12551,40000
12551,40000
12552,91393
12553,40000
12555,68051
12557,41840
12558,40000
12563,40000
12564,76772
12568,40000
12571,53163
12571,53163
12574,66284
12586,50972
12586,50972
12588,49125
12588,49125
12589,59441
12589,59441
12590,72208
12596,40000
12597,63589
12601,41714
12601,41714
12601,41714
12603,43168
12608,40000
12608,40000
12612,92187
12617,55663
12617,55663
12623,79700
12623,79700
12626,61375
12626,61375
12626,61375
12630,41052
12630,41052
12635,40000
12635,40000
12636,40000
12636,40000
12637,44370
12637,44370
12638,56677
12639,40000
12639,40000
12642,68271
12642,68271
12644,40000
12644,40000
12645,63135
12651,75150
12656,70030
12656,70030
12662,69016
12662,69016
12663,49966
12664,40000
12665,68848
12666,40000
12670,45281
12672,54041
12678,44529
12680,46321
12687,78376
12689,59689
12689,59689
12691,48493
12691,48493
12694,53019
12697,40000
12697,40000
12707,53664
12709,45510
12709,45510
12715,40000
12717,53194
12721,70155
12722,62325
12725,40000
12725,40000
12726,61177
12729,51796
12729,51796
12730,40000
12731,40000
12732,74436
12734,40000
12746,63044
12746,63044
12747,40000
12748,40000
12753,47071
12753,47071
12754,56137
12754,56137
12755,40196
12755,40196
12758,51525
12759,49963
12761,62465
12761,62465
12768,44107
12769,40000
12770,55103
12773,65556
12773,65556
12774,40000
12775,69805
12775,69805
12777,50672
12777,50672
12785,68680
12786,51030
12789,41358
12790,87760
12790,87760
12795,56969
12795,56969
12796,40000
12796,40000
12798,81145
12798,81145
12799,42816
12803,91789
12803,91789
12807,48331
12810,46737
12814,46936
12815,65073
12815,65073
12816,66194
12816,66194
12819,48455
12819,48455
12821,46727
12825,40000
12828,85769
12829,51521
12829,51521
12831,40000
12840,40000
12843,40000
12843,40000
12846,63962
12846,63962
12848,40000
12851,64013
12853,47160
12853,47160
12855,40000
12855,40000
12857,52646
12863,62803
12863,62803
12865,64679
12868,40000
12869,61803
12871,41100
12872,56040
12872,56040
12876,42277
12879,40000
12879,40000
12881,66390
12885,40000
12887,40000
12887,40000
12888,41673
12888,41673
12889,58901
12890,66803
12893,50803
12893,50803
12895,40000
12899,40000
12899,40000
12905,58659
12905,58659
12910,69301
12915,55723
12915,55723
12922,69441
12923,40000
12923,40000
12926,68314
12926,68314
12934,47274
12934,47274
12936,64450
12937,59206
12940,49760
12940,49760
12941,67069
12941,67069
12944,40000
12944,40000
12949,40000
12949,40000
12951,60566
12960,40000
12962,73680
12962,73680
12969,59876
12969,59876
12972,40000
12974,93034
12974,93034
12977,61326
12977,61326
12981,40000
12982,40000
12982,40000
12983,57252
12984,40000
12986,50021
12987,56823
12987,56823
13000,40000
13002,40935
13004,40000
13004,40000
13008,40000
13011,51216
13012,40000
13013,40000
13027,65940
13030,51770
13030,51770
13034,77736
13046,40000
13047,52323
13047,52323
13048,40000
13049,60266
13052,42693
13052,42693
13054,40000
13054,40000
13062,55665
13065,58147
13065,58147
13067,40000
13073,76963
13075,40000
13075,40000
13076,50582
13084,64106
13084,64106
13086,40000
13087,40000
13093,75658
13095,40000
13096,52544
13096,52544
13103,40000
13108,40000
13110,57941
13113,66941
13124,73785
13126,40000
13126,40000
13133,67777
13133,67777
13134,51227
13134,51227
13140,40000
13143,40000
13144,52825
13144,52825
13146,61398
13147,77429
13147,77429
13149,46791
13150,40000
13156,48285
13156,48285
13159,54536
13161,49733
13161,49733
13165,42796
13165,42796
13168,49210
13168,49210
13170,49012
13170,49012
13171,40000
13171,40000
13173,46354
13173,46354
13175,65572
13175,65572
13179,90233
13182,46832
13186,93138
13186,93138
13189,40000
13192,43986
13197,93225
13200,50821
13200,50821
13202,51915
13202,51915
13203,40000
13203,40000
13204,45177
13206,44383
13210,83961
13210,83961
13213,61131
13213,61131
13216,40000
13221,47724
13221,47724
13227,88669
13232,40000
13233,49414
13233,49414
13235,57427
13238,40000
13238,40000
13240,49018
13240,49018
13243,67269
13246,83156
13248,72379
13249,40000
13250,47829
13250,47829
13250,47829
13252,55454
13260,40000
13261,88361
13263,61281
13263,61281
13272,40000
13276,65836
13276,65836
13282,45990
13282,45990
13288,40000
13288,40000
13290,40000
13291,54720
13291,54720
13294,57991
13299,40000
13302,40000
13302,40000
13303,63524
13305,104969
13305,104969
13309,40000
13312,53718
13315,40000
13315,40000
13320,47422
13320,47422
13321,59560
13329,96912
13329,96912
13332,40000
13332,40000
13332,40000
13333,50997
13333,50997
13341,40000
13341,40000
13342,59327
13343,40000
13343,40000
13346,40000
13346,40000
13347,79839
13347,79839
13349,66066
13357,40000
13359,62189
13361,40000
13368,52872
13371,40000
13373,82749
13373,82749
13374,40000
13378,64833
13379,52620
13379,52620
13385,40000
13386,91420
13388,52597
13389,40000
13390,40000
13392,69221
13392,69221
13394,44631
13394,44631
13396,40000
13402,40000
13405,60799
13407,60348
13407,60348
13408,52479
13408,52479
13412,56217
13415,61838
13416,40000
13416,40000
13417,53074
13417,53074
13422,59466
13422,59466
13427,50468
13436,67296
13439,49283
13439,49283
13442,40000
13442,40000
13443,40000
13443,40000
13445,53194
13446,64812
13451,40000
13451,40000
13453,52593
13456,40000
13457,40812
13457,40812
13458,41375
13458,41375
13460,40000
13460,40000
13463,40000
13463,40000
13465,49821
13467,56977
13472,40000
13475,55431
13475,55431
13479,82384
13493,40000
13493,40000
13500,57581
13504,41895
13504,41895
13505,46130
13520,46435
13520,46435
13521,40000
13522,70884
13522,70884
13523,45333
13524,52849
13524,52849
13535,40000
13535,40000
13535,40000
13539,54246
13539,54246
13540,82488
13544,91559
13544,91559
13546,50295
13546,50295
13549,40000
13552,73346
13552,73346
13554,49930
13554,49930
13560,40000
13560,40000
13567,71269
13571,61100
13571,61100
13575,73636
13576,73022
13576,73022
13578,62885
13586,40000
13586,40000
13591,40000
13596,57320
13596,57320
13598,76264
13600,40000
13605,70404
13605,70404
13612,40000
13617,40000
13621,73192
13621,73192
13622,63460
13622,63460
13624,40000
13624,40000
13629,40000
13629,40000
13630,40000
13642,45456
13642,45456
13643,64841
13643,64841
13648,47723
13651,62278
13653,53242
13653,53242
13660,50907
13662,66158
13662,66158
13670,40000
13673,50560
13673,50560
13680,46968
13683,40000
13683,40000
13684,79100
13685,48322
13685,48322
13693,40000
13697,40000
13698,57541
13704,40000
13704,40000
13708,48399
13708,48399
13713,56608
13713,56608
13719,49098
13721,64754
13721,64754
13727,50798
13730,53832
13730,53832
13738,48349
13744,58206
13744,58206
13745,40000
13745,40000
13747,47752
13758,66365
13762,88048
13762,88048
13766,43748
13768,40000
13769,61025
13772,57288
13775,70161
13775,70161
13776,53362
13776,53362
13786,74494
13786,74494
13787,40000
13787,40000
13788,40000
13792,59127
13792,59127
13795,49749
13796,50962
13797,54537
13797,54537
13798,41101
13798,41101
13799,40000
13800,40000
13801,64182
13807,64287
13809,43735
13809,43735
13811,52175
13811,52175
13815,40000
13815,40000
13825,54704
13831,40000
13832,64799
13838,40000
13838,40000
13840,40000
13841,52277
13842,40000
13842,40000
13846,61097
13847,40599
13853,61615
13856,77934
13857,51929
13859,40000
13859,40000
13861,42013
13863,84893
13863,84893
13870,40000
13875,40000
13883,40000
13884,44785
13888,40000
13888,40000
13894,48958
13894,48958
13897,48476
13897,48476
13899,40000
13902,62721
13904,73885
13909,42656
13911,64188
13913,42772
13914,41526
13916,90797
13916,90797
13919,51486
13922,80951
13924,40000
13924,40000
13928,76677
13928,76677
13930,78867
13930,78867
13934,46507
13936,47292
13942,40000
13943,87119
13943,87119
13944,54309
13946,52426
13946,52426
13948,42837
13951,82054
13951,82054
13960,43204
13962,67965
13966,40000
13969,60392
13972,49895
13979,50381
13979,50381
13986,46099
13987,49919
13990,52723
13990,52723
13992,81318
13992,81318
13993,69962
13993,69962
13994,88328
13996,57054
13999,40000
13999,40000
14001,40000
14001,40000
14005,40000
14011,50800
14012,40000
14015,63084
14024,49470
14024,49470
14030,51275
14031,58367
14034,69700
14034,69700
14038,62982
14038,62982
14039,55689
14041,63235
14041,63235
14045,40000
14049,40000
14049,40000
14051,40000
14058,56244
14058,56244
14066,69020
14067,44669
14067,44669
14074,44894
14076,50846
14077,57835
14084,40000
14086,68537
14086,68537
14088,44821
14088,44821
14093,44420
14102,48200
14105,76767
14107,82396
14107,82396
14109,61804
14111,52696
14111,52696
14112,61757
14113,46841
14118,46248
14122,62343
14122,62343
14128,47537
14128,47537
14130,40000
14139,40000
14140,64727
14146,40000
14147,40000
14148,40000
14148,40000
14150,40000
14159,64495
14165,40000
14165,40000
14167,40000
14167,40000
14168,40000
14172,61519
14172,61519
14182,80254
14191,40155
14191,40155
14197,52474
14197,52474
14199,40000
14200,52225
14209,40000
14214,49797
14217,40000
14217,40000
14220,68017
14224,40000
14232,50568
14232,50568
14233,40000
14233,40000
14234,59812
14236,40000
14237,57219
14237,57219
14241,55280
14241,55280
14242,40000
14242,40000
14244,61406
14244,61406
14245,40000
14245,40000
14246,47343
14248,40000
14248,40000
14251,40000
14252,40000
14253,40000
14253,40000
14254,50266
14256,46348
14257,40000
14259,42593
14259,42593
14273,64222
14275,94782
14277,40000
14279,40000
14281,47391
14281,47391
14285,53317
14285,53317
14287,45483
14287,45483
14289,60863
14290,78736
14292,41846
14292,41846
14293,40000
14298,40000
14298,40000
14302,45483
14310,40000
14320,40000
14320,40000
14321,83644
14321,83644
14322,50363
14323,40000
14326,51046
14327,44147
14327,44147
14329,46371
14330,46376
14331,40000
14331,40000
14332,40000
14332,40000
14335,54734
14340,42858
14340,42858
14342,56327
14342,56327
14344,41979
14345,61910
14354,40000
14354,40000
14359,40000
14360,43476
14364,56970
14369,43031
14369,43031
14370,41248
14370,41248
14372,57667
14380,47819
14380,47819
14382,66995
14384,58260
14385,40000
14385,40000
14388,52022
14388,52022
14394,40000
14394,40000
14395,58898
14398,41978
14406,74442
14411,58151
14418,61764
14422,59001
14422,59001
14424,40000
14434,40000
14436,65830
14436,65830
14439,80654
14439,80654
14441,40000
14446,66639
14446,66639
14455,63969
14455,63969
14456,57852
14456,57852
14457,52732
14457,52732
14460,56267
14460,56267
14478,40000
14481,40000
14481,40000
14483,40000
14484,64573
14486,40000
14486,40000
14490,60770
14491,40617
14494,40000
14497,55199
14498,40000
14498,40000
14500,50058
14501,63646
14502,54596
14502,54596
14509,40000
14509,40000
14513,83273
14514,40000
14515,61645
14515,61645
14516,73262
14518,64238
14522,40000
14524,104682
14526,60761
14530,40000
14533,48376
14534,49590
14534,49590
14537,48332
14537,48332
14539,42975
14544,104153
14544,104153
14548,40000
14548,40000
14552,40000
14552,40000
14556,40000
14556,40000
14560,62770
14560,62770
14563,40000
14564,62163
14568,40000
14572,40000
14574,40000
14574,40000
14577,40000
14581,59499
14581,59499
14582,40000
14589,40000
14595,70860
14595,70860
14597,44486
14600,41352
14603,55369
14603,55369
14607,67813
14610,85426
14610,85426
14611,86684
14620,53303
14620,53303
14621,66404
14621,66404
14622,40000
14622,40000
14623,47200
14627,49395
14632,40000
14632,40000
14632,40000
14634,46360
14639,79405
14639,79405
14640,42662
14640,42662
14641,68814
14641,68814
14642,54553
14642,54553
14645,45647
14645,45647
14646,40000
14646,40000
14648,89209
14648,89209
14654,72278
14655,65742
14655,65742
14656,50794
14659,40926
14659,40926
14665,85792
14667,43032
14667,43032
14668,53268
14668,53268
14670,40000
14674,40000
14675,40000
14676,67712
14676,67712
14677,40000
14678,40000
14681,62865
14683,41107
14683,41107
14684,68504
14690,40000
14690,40000
14692,40000
14692,40000
14693,59960
14693,59960
14700,47864
14703,40721
14703,40721
14710,40341
14713,58566
14716,53864
14716,53864
14717,45421
14717,45421
14722,72726
14723,40000
14723,40000
14724,66530
14724,66530
14725,47976
14732,52144
14732,52144
14741,72648
14741,72648
14745,46886
14746,46307
14746,46307
14750,40000
14751,42780
14752,61170
14753,40000
14756,65797
14756,65797
14759,57346
14759,57346
14761,88993
14761,88993
14763,40000
14774,40000
14776,49455
14776,49455
14777,60709
14778,94991
14780,51232
14785,46936
14789,48395
14791,40000
14793,47045
14798,40000
14801,57944
14801,57944
14802,40000
14802,40000
14803,40000
14806,40000
14807,95008
14814,40000
14814,40000
14815,40000
14817,41203
14817,41203
14818,40000
14818,40000
14820,81483
14821,42545
14826,91205
14826,91205
14828,45410
14830,70979
14837,55203
14837,55203
14839,40000
14839,40000
14842,46685
14842,46685
14846,40002
14846,40002
14853,58311
14853,58311
14854,48875
14854,48875
14865,61175
14871,72116
14874,40000
14877,40000
14877,40000
14879,54322
14879,54322
14880,40000
14881,67611
14881,67611
14885,40000
14888,60916
14889,52734
14899,64365
14899,64365
14902,40000
14905,41067
14906,54758
14906,54758
14908,40000
14908,40000
14909,40000
14909,40000
14911,62738
14911,62738
14914,40000
14915,40733
14920,40000
14920,40000
14921,55140
14921,55140
14923,40000
14925,40000
14926,53756
14926,53756
14928,53377
14930,42712
14933,40000
14936,40000
14941,43608
14941,43608
14942,40000
14942,40000
14947,46447
14949,44930
14949,44930
14954,43510
14955,45564
14955,45564
14957,75725
14959,48289
14966,80123
14971,55187
14973,63316
14978,75352
14982,45283
14983,86754
14983,86754
14987,40719
14993,45407
14993,45407
15004,46038
15005,50368
15005,50368
15015,80996
15016,40000
15018,40668
15018,40668
15019,41721
15019,41721
15024,40000
15025,57957
15025,57957
15029,40000
15029,40000
15030,40000
15032,40000
15036,40000
15042,40000
15043,104525
15048,41400
15049,40000
15052,40630
15055,40000
15055,40000
15059,40000
15059,40000
15064,83820
15064,83820
15066,43455
15066,43455
15069,40000
15071,97484
15071,97484
15075,40000
15075,40000
15077,40000
15080,40000
15082,63024
15087,40000
15087,40000
15089,48594
15089,48594
15092,40000
15094,64621
15102,40374
15102,40374
15105,75800
15105,75800
15112,44588
15112,44588
15113,62081
15114,40000
15118,40000
15123,47576
15123,47576
15124,40000
15129,40000
15133,40000
15134,62752
15134,62752
15136,59986
15139,71066
15143,74525
15145,51443
15145,51443
15150,47983
15150,47983
15151,61253
15151,61253
15155,40000
15155,40000
15159,48126
15166,50979
15169,64912
15176,98401
15176,98401
15179,51637
15179,51637
15183,59214
15183,59214
15184,56726
15187,43249
15193,47039
15195,51315
15196,55824
15196,55824
15199,49278
15199,49278
15200,73718
15202,40000
15202,40000
15204,40000
15205,43795
15207,44839
15208,44109
15208,44109
15216,43855
15216,43855
15218,44614
15218,44614
15223,40000
15228,40000
15228,40000
15230,70187
15230,70187
15231,48675
15231,48675
15233,40000
15234,47654
15237,40000
15237,40000
15243,41015
15243,41015
15248,64696
